,dd,country,fatalities,preds_ols,preds_olsx,preds_dols,preds_dolsx
0,2021-11,Afghanistan,0.26976744186046514,0.2550826996029248,0.15515588369823607,0.29670065264925943,0.15731284046285055
1,2021-12,Afghanistan,0.07441860465116279,0.2528944064743818,0.31723808092720773,0.29273996069659447,0.31904242679900463
2,2022-01,Afghanistan,0.12558139534883722,0.2072157833704456,0.1381168192546003,0.22490078515981726,0.1508772250950141
3,2022-02,Afghanistan,0.018604651162790697,0.21731990810044605,0.16325870416381338,0.18914717477860332,0.16851110708867978
4,2022-03,Afghanistan,0.13023255813953488,0.2734022870369154,0.1639265668754506,0.2753049756256764,0.1866371052264313
5,2022-04,Afghanistan,0.4697674418604651,0.2507061133458389,0.22584367379760906,0.28877926874392945,0.2529828910734597
6,2022-05,Afghanistan,0.586046511627907,0.27212624259671986,0.4562531322772685,0.2722290056398145,0.44556051152342846
7,2022-06,Afghanistan,0.3209302325581395,0.26237255823781813,0.5229909726445925,0.24945927720419406,0.5113129609815612
8,2022-07,Afghanistan,0.2558139534883721,0.2683997278132653,0.36772137907418845,0.25985651860916,0.35746141753418215
9,2022-08,Afghanistan,0.19069767441860466,0.19581151569318248,0.24246687465323458,0.14894014276572753,0.2093230605255929
10,2022-09,Afghanistan,1.0,0.27505287035527676,0.2705863766641583,0.2777808331253124,0.2939420101578243
11,2022-10,Afghanistan,0.4372093023255814,0.23861432030712787,0.7408980066438628,0.21924837533461553,0.7204639427278803
12,2022-11,Afghanistan,0.06511627906976744,0.2725890446312683,0.43246734922811125,0.27767113181174596,0.4206908165545986
13,2022-12,Afghanistan,0.42790697674418604,0.24033981140112237,0.17827210769929458,0.2684819975741824,0.20324350113579825
14,2023-01,Afghanistan,0.23255813953488372,0.2049525824662695,0.27321087757699125,0.22489738492605468,0.28401415301458677
15,2023-02,Afghanistan,0.05581395348837209,0.27505287035527676,0.22212220909849467,0.2777808331253124,0.2449079744965914
16,2023-03,Afghanistan,0.18604651162790697,0.24521665358057326,0.10068231479761547,0.2798668617919926,0.1255811537655127
17,2023-04,Afghanistan,0.21395348837209302,0.2671370387538192,0.201801057634448,0.3174951354591913,0.2326290849539827
18,2023-05,Afghanistan,0.05116279069767442,0.2628728141601831,0.2207661072384397,0.2529227575166743,0.20771303569512156
19,2023-06,Afghanistan,0.10232558139534884,0.2639856876683629,0.12374776434006396,0.3046288370221146,0.1555488674424801
20,2023-07,Afghanistan,0.023255813953488372,0.25189389462965184,0.1409221683956723,0.2350979436128006,0.12460812474860283
21,2023-08,Afghanistan,0.08372093023255814,0.26226019657436833,0.10079897430927076,0.2553952147825477,0.0865573122726424
22,2023-09,Afghanistan,0.0,0.26506110728872606,0.1435498069624197,0.25688344946933933,0.13094170975924513
23,2023-10,Afghanistan,0.013953488372093023,0.2485927279929291,0.07470343687004011,0.23014622861352874,0.05725929957963238
24,2023-11,Afghanistan,0.03255813953488372,0.2567332829212861,0.08717376699213641,0.2292751075817759,0.10928364943177371
25,2023-12,Afghanistan,0.0,0.2639107798927297,0.10844857098620153,0.2386847261738975,0.1332266696737232
26,2022-03,Albania,0.0,0.0,0.0,0.0,0.0
27,2022-04,Albania,0.0,0.0,0.0,0.0,0.0
28,2022-05,Albania,0.0,0.0,0.0,0.0,0.0
29,2022-06,Albania,0.0,0.0,0.0,0.0,0.0
30,2022-07,Albania,0.0,0.0,0.0,0.0,0.0
31,2022-08,Albania,0.0,0.0,0.0,0.0,0.0
32,2022-09,Albania,0.0,0.0,0.0,0.0,0.0
33,2022-10,Albania,0.0,0.0,0.0,0.0,0.0
34,2022-11,Albania,0.0,0.0,0.0,0.0,0.0
35,2022-12,Albania,0.0,0.0,0.0,0.0,0.0
36,2023-01,Albania,0.0,0.0,0.0,0.0,0.0
37,2023-02,Albania,0.0,0.0,0.0,0.0,0.0
38,2023-03,Albania,0.0,0.0,0.0,0.0,0.0
39,2023-04,Albania,0.0,0.0,0.0,0.0,0.0
40,2023-05,Albania,0.0,0.0,0.0,0.0,0.0
41,2023-06,Albania,0.0,0.0,0.0,0.0,0.0
42,2023-07,Albania,0.0,0.0,0.0,0.0,0.0
43,2023-08,Albania,0.0,0.0,0.0,0.0,0.0
44,2023-09,Albania,0.0,0.0,0.0,0.0,0.0
45,2023-10,Albania,0.0,0.0,0.0,0.0,0.0
46,2023-11,Albania,0.0,0.0,0.0,0.0,0.0
47,2023-12,Albania,0.0,0.0,0.0,0.0,0.0
48,2015-11,Algeria,0.16666666666666666,-0.005569337854336068,0.01912759086834437,0.00858892380754353,0.020295302337892007
49,2015-12,Algeria,0.2916666666666667,0.03060939620901381,0.07965508008503686,0.037342295044391405,0.07913917293298489
50,2016-01,Algeria,0.20833333333333334,0.012520029177338868,0.19674617490325574,0.019855545168600025,0.17639911609430287
51,2016-02,Algeria,0.125,0.012520029177338868,0.1649248039199196,0.028057655813877952,0.14679038093076585
52,2016-03,Algeria,0.8333333333333334,0.033624290714292966,0.13464666902199562,0.03888973491614364,0.11901633334801831
53,2016-04,Algeria,0.4583333333333333,0.03060939620901381,0.40259497118778986,0.029140184399113478,0.37002109183073373
54,2016-05,Algeria,1.0,0.03060939620901381,0.2610925917210678,0.029140184399113478,0.23678178359481716
55,2016-06,Algeria,0.625,0.0517136577459679,0.4664566731822315,0.03075394937054174,0.4310732497385974
56,2016-07,Algeria,0.0,0.042668974230130434,0.32559529778906326,0.026111629755285026,0.2967760520375181
57,2016-08,Algeria,0.0,0.03663918521957212,0.08916328200083345,0.03025308201207491,0.07432213925317699
